"Industry Group ID","Number of Employees Midpoint PCI","Industry Group"
"3333",0.9285698771,"Fabricación de Maquinaria y Equipo para el Comercio y los Servicios"
"3334",1.4740814258,"Fabricación de Equipo de Aire Acondicionado, Calefacción, y de Refrigeración Industrial y Comercial"
"3335",1.2150059557,"Fabricación de Maquinaria y Equipo para la Industria Metalmecánica"
"3336",1.4711465503,"Fabricación de Motores de Combustión Interna, Turbinas y Transmisiones"
"3339",1.4656350218,"Fabricación de otra Maquinaria y Equipo para la Industria en General"
"3341",1.1239971401,"Fabricación de Computadoras y Equipo Periférico"
"3342",1.1707828696,"Fabricación de Equipo de Comunicación"
"3343",1.2587329969,"Fabricación de Equipo de Audio y de Video"
"3344",1.5953578156,"Fabricación de Componentes Electrónicos"
"3345",1.4000128782,"Fabricación de Instrumentos de Medición, Control, Navegación, y Equipo Médico Electrónico"
"3346",0.6468643943,"Fabricación y Reproducción de Medios Magnéticos y Ópticos"
"3351",1.0231926628,"Fabricación de Accesorios de Iluminación"
"3352",1.6282482522,"Fabricación de Aparatos Eléctricos de Uso Doméstico"
"3353",0.9249402435,"Fabricación de Equipo de Generación y Distribución de Energía Eléctrica"
"3359",1.6194338324,"Fabricación de otros Equipos y Accesorios Eléctricos"
"3361",0.7008435009,"Fabricación de Automóviles y Camiones"
"3362",0.879963686,"Fabricación de Carrocerías y Remolques"
"3363",0.5594359029,"Fabricación de Partes para Vehículos Automotores"
"3364",1.0421589538,"Fabricación de Equipo Aeroespacial"
"3365",0.3706323776,"Fabricación de Equipo Ferroviario"
"3366",-1.212217493,"Fabricación de Embarcaciones"
"3369",0.4803881205,"Fabricación de otro Equipo de Transporte"
"3371",0.5345159469,"Fabricación de Muebles, Excepto de Oficina y Estantería"
"3372",1.1619186491,"Fabricación de Muebles de Oficina y Estantería"
"3379",1.452930869,"Fabricación de Colchones, Persianas y Cortineros"
"3391",0.449064203,"Fabricación de Equipo no Electrónico y Material Desechable de Uso Médico, Dental y para Laboratorio, y Artículos Oftálmicos"
"3399",-0.4721984116,"Otras Industrias Manufactureras"
"4311",0.1024013411,"Comercio al por Mayor de Abarrotes y Alimentos"
"4312",-1.189848358,"Comercio al por Mayor de Bebidas, Hielo y Tabaco"
"4321",1.0609233121,"Comercio al por Mayor de Productos Textiles y Calzado"
